source,target,value
s1,v2,1
v2,v3,1
v3,o4,1
v1,o2,1
v1,o2,1
v1,v2,1
v2,v3,1
v3,o4,1
v1,o2,1
v1,v2,1
v2,v3,1
v3,o4,1
v1,v2,1
v2,o3,1
v1,o2,1
v1,v2,1
v2,v3,1
v3,o4,1
v1,o2,1
v1,o2,1
v1,o2,1
v1,o2,1
s1,v2,1
v2,v3,1
v3,s4,1
s4,s5,1
s5,v6,1
v6,v7,1
v7,s8,1
s8,s9,1
s9,v10,1
v10,v11,1
v11,o12,1
s1,s2,1
s2,s3,1
s3,s4,1
s4,o5,1
v1,v2,1
v2,o3,1
s1,s2,1
s2,v3,1
v3,v4,1
v4,o5,1
v1,o2,1
o2,v3,1
v3,s4,1
s4,s5,1
s5,s6,1
s1,v2,1
v2,v3,1
v3,o4,1
v1,v2,1
v2,o3,1
s1,v2,1
v2,v3,1
v3,s4,1
s4,s5,1
s5,v6,1
v6,o7,1
o3,v4,1
v4,v5,1
v5,v6,1
v6,v7,1
s1,v2,1
v2,v3,1
v3,v4,1
v4,v5,1
v5,s6,1
s6,s7,1
s7,v8,1
v8,v9,1
v9,s10,1
s10,v11,1
v11,v12,1
v12,s13,1
s13,o14,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,v5,1
v5,o6,1
v1,v2,1
v2,o3,1
o2,s3,1
s3,v4,1
v4,v5,1
v5,v6,1
v6,s7,1
s7,v8,1
v8,v9,1
v9,v10,1
v10,s11,1
s11,v12,1
v12,v13,1
v13,v14,1
v14,s15,1
s15,v16,1
v16,v17,1
v17,v18,1
v1,v2,1
v2,o3,1
v1,o2,1
v1,o2,1
s1,v2,1
v2,o3,1
v1,v2,1
v2,s3,1
s3,v4,1
v4,o5,1
v1,v2,1
v2,o3,1
s1,v2,1
v2,v3,1
v3,s4,1
s4,s5,1
s5,v6,1
v6,v7,1
v7,o8,1
s1,v2,1
v2,v3,1
v3,v4,1
v4,o5,1
v1,v2,1
v2,o3,1
v1,v2,1
v2,o3,1
v1,v2,1
v2,s3,1
s3,v4,1
v4,v5,1
v5,v6,1
v6,o7,1
s1,v2,1
v2,v3,1
v3,s4,1
s4,s5,1
s5,s6,1
s6,s7,1
s7,v8,1
v8,v9,1
v9,o10,1
v1,o2,1
v1,v2,1
v2,o3,1
v1,o2,1
o4,v5,1
v5,v6,1
v6,v7,1
v7,v8,1
s1,v2,1
v2,v3,1
v3,s4,1
s4,s5,1
s5,s6,1
s6,s7,1
s7,s8,1
s8,s9,1
s9,s10,1
s10,s11,1
s11,s12,1
s12,s13,1
s13,v14,1
v14,v15,1
v15,o16,1
v1,v2,1
v2,s3,1
s3,v4,1
v4,o5,1
v1,v2,1
v2,o3,1
v1,o2,1
s1,v2,1
v2,o3,1
s1,v2,1
v2,s3,1
s3,v4,1
v4,v5,1
v5,o6,1
v1,o2,1
o1,s2,1
s2,s3,1
v1,v2,1
v2,o3,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,s5,1
s5,s6,1
s6,s7,1
s7,s8,1
s8,v9,1
v9,v10,1
v10,s11,1
s11,s12,1
s12,s13,1
s13,v14,1
v14,v15,1
v15,o16,1
v1,o2,1
s1,v2,1
v2,v3,1
v3,v4,1
v4,o5,1
v1,s2,1
s2,s3,1
s3,s4,1
s4,s5,1
s5,v6,1
v6,v7,1
v7,s8,1
s8,s9,1
s9,s10,1
s10,v11,1
v11,v12,1
v12,s13,1
s13,s14,1
s14,s15,1
s15,v16,1
v16,v17,1
v17,o18,1
v1,o2,1
v1,v2,1
v2,o3,1
o6,v7,1
v7,o8,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,o5,1
v1,v2,1
v2,v3,1
v3,o4,1
v1,o2,1
v1,v2,1
v2,o3,1
v1,o2,1
o2,v3,1
s1,v2,1
v2,v3,1
v3,s4,1
s4,v5,1
v5,s6,1
s6,s7,1
s7,s8,1
s8,s9,1
s9,v10,1
v10,v11,1
v11,s12,1
s12,v13,1
v13,v14,1
v14,o15,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,o5,1
v1,v2,1
v2,o3,1
v1,v2,1
v2,o3,1
s1,v2,1
v2,v3,1
v3,o4,1
s1,v2,1
v2,v3,1
v3,v4,1
v4,v5,1
v5,o6,1
v1,v2,1
v2,v3,1
v3,o4,1
v1,v2,1
v2,v3,1
v3,o4,1
s1,v2,1
v2,s3,1
s3,s4,1
s4,v5,1
v5,s6,1
s6,s7,1
s7,v8,1
v8,s9,1
s9,v10,1
v10,v11,1
v11,o12,1
v1,o2,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,v5,1
v5,o6,1
v1,o2,1
v1,v2,1
v2,o3,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,v5,1
v5,o6,1
v1,v2,1
v2,o3,1
v1,v2,1
v2,o3,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,o5,1
s1,v2,1
v2,v3,1
v3,v4,1
v4,v5,1
v5,o6,1
v1,o2,1
v1,o2,1
s1,v2,1
v2,v3,1
v3,o4,1
v1,o2,1
s1,v2,1
v2,v3,1
v3,o4,1
v1,v2,1
v2,o3,1
v1,o2,1
v1,s2,1
s2,v3,1
v3,v4,1
v4,o5,1
s1,v2,1
v2,o3,1
v1,v2,1
v2,v3,1
v3,o4,1
s1,v2,1
v2,v3,1
v3,v4,1
v4,o5,1
v1,o2,1
v1,o2,1
s1,s2,1
s2,s3,1
s3,s4,1
s4,s5,1
s5,s6,1
s6,s7,1
s7,v8,1
v8,v9,1
v9,s10,1
s10,s11,1
s11,s12,1
s12,v13,1
v13,v14,1
v14,v15,1
v15,v16,1
v16,s17,1
s17,v18,1
v18,v19,1
v19,o20,1
v1,o2,1
v1,s2,1
s2,s3,1
s3,s4,1
s4,s5,1
s5,s6,1
s6,s7,1
s7,o8,1
v1,v2,1
v2,o3,1
s1,v2,1
v2,v3,1
v3,s4,1
s4,s5,1
s5,v6,1
v6,v7,1
v7,s8,1
s8,v9,1
v9,v10,1
v10,o11,1
s1,s2,1
s2,v3,1
v3,v4,1
v4,o5,1
v1,v2,1
v2,v3,1
v3,v4,1
v4,o5,1
v1,o2,1
v1,v2,1
v2,s3,1
s3,v4,1
v4,v5,1
v5,v6,1
v6,s7,1
s7,v8,1
v8,v9,1
v9,s10,1
s10,v11,1
v11,v12,1
v12,s13,1
s13,v14,1
v14,o15,1
s1,o2,1
v1,o2,1
v1,o2,1
